,Date,Time,Location,Operator,Type,Flight,Aboard,Fatalities,Ground,Summary
1016,13 09 1982,12:00:00,"Near Malaga, Spain",Spantax,McDonnell Douglas DC-10-30CF,995,394,50,0,The aircraft crashed during takeoff after intense vibration caused by a blown retreaded tire. The crew aborted the takeoff above VR and overran the runway. They also  failed to apply reverse thrust symmetrically.
1017,17 09 1982,09:30:00,"Near Nondalton, Alaksa",Air Taxi,Robertson C-U206F,,5,4,0,Shortly after takeoff from Hudson Lake the left wingtip contacted the water causing the aircraft to cartwheel. The aircraft came to rest inverted & floated for a short time before sinking. Poor judgement by the pilot in command. Unfavorable wind and weather conditions.
1018,18 09 1982,,"Two Bridge Lake, British Colombia, Canada",Central Mountain Air Services,de Havilland Canada DHC-3 Otter,,5,5,0,
1019,21 09 1982,11:00:00,"Near Kotzbue, Alaska",Air Taxi,Cessna U206G,,6,4,0,"The aircraft engine lost power over water of Hotham Inlet. Due to low altitude, the pilot had to ditch the aircraft. The aircraft sank almost immediately. Because of pilot's radio call two passengers were rescued. Reason for occurrence undetermined"
1020,29 09 1982,,"Luxembourg, Luxembourg",Aeroflot,Ilyushin IL-62M,343,77,7,0,"The aircraft swerved to the right after landing, sideswiped a water tower, crashed into a building and continued into a revine where it exploded and burned. Failure of the control mechanism on the No.1 engine reverser."
1021,20 10 1982,,AtlantiOcean,Air Taxi,Piper PA-31,,8,8,0,The aircraft disappeared en route. Reasons for occurrence undetermined.
1022,17 11 1982,,Off Taiwan,Far Eastern Air Transport,Bell 212,,15,15,0,The helicopter crashed into the sea.
1023,23 11 1982,22:40:00,"Cullman, Alabama",Air Taxi,Beechcraft 95-B55,,2,2,0,"After takeoff from Runway 1, the aircraft was observed to climb in a steep attitude into the clouds. The aircraft crashed in a near vertical attitude about 3/4 mi from the runway on a bearing of 050 degrees. Reason for occurrence undetermined."
1024,29 11 1982,,"Lubango, Angola",TAAG Angola Airlines,Antonov AN-26,,15,15,0,Flew into a mountain while descending for a landing.
1025,30 11 1982,,"Quetame, Colombia",Aerolineas Centrales de Colombia,de Havilland Canada DHC-6 Twin Otter 310,,22,22,0,"Crashed into a mountain. Flying under VFR in IFR conditions, navigation error and lack of adequate training."
1026,12 01 1982,22:05:00,"Douglassville, Pennsylvania",Air Taxi - Basco Flying Service Inc.,Piper PA-32-260,,5,3,0,The pilot made an approach at Douglassville to the missed approach point where the pilot lost sight of the beacon. He began to make a missed approach. When the pilot advanced the throttle no increased engine noise was heard. The plane continued to lose speed until it crashed into trees at 440 Ft. MSL. For reasons undetermined.
1027,12 07 1982,19:10:00,"Near Pueblo, Colorado",Pioneer Airlines,Swearingen SA.227AC Metro III,,2,2,0,The cargo plane flew into a hill while descending to land. The pilot may have had a physical imparement.
1028,12 09 1982,c14:30,"Near San Andres de Bocay, Nicaragua",Military - Nicaraguan Air Force,Mil Mi-8 (helicopter),,88,84,0,Shot down by Sandinistan rebels.
1029,12 09 1982,13:10:00,"Near Klawock, Alaksa",Air Taxi - Tyee Airlines Inc.,de Havilland DHC-2,,8,8,0,Took off and crashed into rising terrain in fog. Improper inflight planning by pilot in command. Clouds and fog prevailed at the time.
1030,12 09 1982,13:27:00,"La Serena, Chile",Aeronor Chile,Fairchild F-27J,304,46,46,0,"While on approach, the aircraft suddenly banked to the left and went into a steep descent and crashed.  Inadequate flight procedures by the pilot in command after experiencing a loss of power in the left engine.  Inadequate flight planning by the pilot-in-command in coordinating the adoption of measures and applying procedures to successfully remedy a stall condition caused by total loss of power in the left engine when the aircraft was flying at low altitude on final approach to land."
1031,15 12 1982,18:40:00,"Defiance, Ohio",Air Taxi - Custom Air Transport Inc.,Cessna T210,,2,2,0,The aircraft crashed during a non-precision approach in weather that was below minimums for that type of approach. Minimum descent altitude.not maintained by pilot in command.
1032,22 12 1982,,"Mesvres, France",Rijnmond Air Services,Piper PA-31-350 Chieftain,,10,10,0,
1033,23 12 1982,,"Rostov-on-Don, Russia",Aeroflot,Antonov AN-26,,16,16,0,
1034,24 12 1982,,"Guangzhou, China",CAAC,Ilyushin IL-18B,,69,25,0,A passenger's cigarette caused a fire in the cabin which led to an oxygen tank exploding.
1035,01 09 1983,,"Brainerd, Minnesota",RepubliAirlines,Convair 580-11A,927,33,1,0,"The plane landed 1,725 feet beyond the runway threshold, right wing down, veered to the right until the right propeller struck a 2 to 3 foot snow bank. The blade separated from the engine and penetrated the cabin. Proper alignment not attained by pilot in command. Terrain condition, snow bank. Lack of NOTAM. Improper snow removal."
1036,01 11 1983,02:50:00,"Detroit, Michigan",United Air Lines,McDonnell Douglas DC-8-54F37,2885,3,3,0,"After taking off the cargo plane rolled to the right with wings vertical to the ground until it crashed into a field. The flight crew's failure to follow procedural checklist requirements and to detect and correct a mistrimmed stabilizer before the aircraft became uncontrollable. Contributing to the accident was the captain allowing the second officer, who was not qualified to act as a pilot, to occupy the seat of the first officer and to conduct the take-off."
1037,14 01 1983,,"Near Karimui, Papua New Guinea",Talair,Britten Norman BN-2A-20 Trislander,,10,10,0,
1038,16 01 1983,,"Ankara, Turkey",Turkish Airlines (THY),Boeing B-727-2F2,,67,47,0,"The flight originated in West Germany and stopped in Istanbul before beginning a 40-minute flight to Ankara's Esenboga Airport. The aircraft crashed short of the runway in fog, snow and poor visibility. Windshear."
1039,13 02 1983,,"Fayetteville, North Carolina",Military - U.S. Air Force,Lockheed C-130H Hercules,,6,6,0,An overheated APU led to a fire and loss of control of the aircraft.
1040,23 02 1983,23:17:00,"Brooksville, Florida",Air Taxi,Piper PA-32-301,,2,2,0,The aircraft disappeared after entering an area of severe turbulence. Excessive airspeed for area of turbulence. Exceeded design stress limits of aircraft.
1041,03 09 1983,,"Off Macae, Brazil",Aeroleo Taxi Aereo,Bell 212,,11,11,0,Crashed into the sea.
1042,03 10 1983,,"Near Shach Goan, Afghanistan",Bakhtar Afghan Airlines,de Havilland Canada DHC-6 Twin Otter 300,,19,19,0,"Pilot decided to climb and continue to fly VFR in deteriorating weather. The plane crashed in an area of rain, turbulence and thunderstorms. Continued VFR flight in poor weather and a physical impairment due to lack of oxygen when flying at high altitude."
1043,03 11 1983,07:00:00,Barquisimeto Venezuela,Avensa,McDonnell Douglas DC-9-32,,50,23,0,"The aircraft landed past the runway threshold, experienced a hard landing in fog, slid off the runway and broke up. Improper in-flight decisions and inadequate supervision of the flight."
1044,24 03 1983,02:36:00,"Jeffersonville, Georgia",Air Taxi,Mitsubishi MU-2B-60,,4,4,0,The aircraft entered a high speed dive for reasons unknown and crashed. Exceeded design limits of aircraft.
1045,30 03 1983,05:14:00,"Newark, New Jersey",Central Airlines,Learjet 25,,2,2,0,"While attempting to land, the cargo plane came in too steep and fast, bounced on landing, crashed and burned. Loss of control following ground contact due to anunstabilized approach. Impairment of the flightcrew's judgment, decision making and flying abilities by a combination of physioIogical and psychological factors."
1046,04 03 1983,,"Guangzhou, China",Total,Beech Super King Air 200,,8,8,0,
1047,04 07 1983,14:55:00,"Selawik, Alaska",Munz Northern Airlines,Britten-Norman BN-2A-8 Islander,601,3,2,0,Lost control of the aircraft and crashed in a snow storm. Continued VFR flight in IFR conditions.
1048,16 04 1983,,"Near Khartoum, Sudan",Air Liberia,Hawker Siddeley HS-748-329 Srs. 2A,,9,8,9,The No.2 engine failed during climbout forcing a return to the airport. While on the  base leg the aircraft lost altitude and crashed. High Pressure fuel pump shaft broke due to pump seizure. The remaining engine could not produce enough power because the fuel datum trimmer wasn't reset in accordance with the flight manual.
1049,19 04 1983,18:09:00,"Leninakan, Russia",Aeroflot,Yakovlev YAK-40,,21,21,0,The crew deviated from course while descending to land. Navigational error. ATC procedural error in not identifying the planes position.
1050,19 04 1983,07:20:00,"Near Toba, Japan",Japan Air Self-Defence Force,Kawasaki C-1 / Kawasaki C-1,,14,14,0,"Both aircraft, flying in tandem, crashed into the side of a mountain. A third aircraft brushed trees and managed to remain airborne."
1051,26 04 1983,17:37:00,"Iwakuni AB, Japan",Military - Japan Maritime Self Defense Force,PS-1,,14,11,0,Crashed near an ammo depot.
1052,29 04 1983,15:10:00,"Guayaquil, Ecuador",SAN Ecuador,Sud Aviation SE-210 Caravelle VIR,832,100,8,0,One of the aircraft's engines failed shortly after takeoff and the plane landed heavily on muddy ground and broke in three.
1053,30 04 1983,,"Jacksonville, Florida",Military - United States Navy,Convair CV-340,,15,14,0,"Crashed into St. John's River just shy of the Jacksonville Naval Air Station's main runway. Shortly after takeoff, one of the engines burst into flames and the crew was trying to make it back to the air station."
1054,05 05 1983,10:20:00,"Near Ban Ta Khli, Thailand",Military - Royal Thai Air Force,Fairchild C-123K,,30,30,0,The aircraft was preparing to land at Ban ta Khli Air Base when it was waved off because the runway was not clear. The plane plunged to earth 700 ft. past the runway. Engine failure was suspected.
1055,05 05 1983,09:15:00,"En route Miami, FL - Nassau, Bahamas",Eastern Air Lines,Lockheed L-1011,855,172,0,0,"Procedural error by maintenance crew caused O-ring seal to be left off all three engines, causing all oil to leak out in flight. One engine shut down at first sign of trouble, followed by failure of other two engines. First engine restarted at an altitude of 3,000 feet and ran long enough to make a safe landing at Miami 9 minutes later."
1056,06 02 1983,,"Tanjung Karang, Indonesia",Garuda Indonesia Airlines,Fokker F-28 Fellowship 3000RC,,61,3,0,The aircraft failed to gain altitude and overran the runway. Crew did not follow checklist procedures.
1057,06 02 1983,19:20:00,"Cincinnati International Airport, Covington/Hebron, Kentucky",Air Canada,McDonnell Douglas DC-9-32,797,46,23,0,"The plane was on a flight from Houston to Toronto with an intermediate stop at Dallas - Fort Worth.  An in-flight fire in the rear lavatory, of unknown origin, forced the plane to make an emergency landing at Cincinnati International Airport. Fatalities occurred from smoke inhalation and a flash fire that erupted when exit doors were opened. Underestimation of the fire severity and conflicting fire progress reports to the captain delayed a quicker emergency landing. Canadian folk singer Stan Rogers, 33,  killed. He was going home after attending the Kerrville Folk Festival in Texas. He died in the fire while helping other passengers to safety."
1058,06 06 1983,12:40:00,"Off Quemoy, Taiwan",Military - Republiof China Air Force,Fairchild C-199G,,47,47,0,The domestiflight crashed into the Formosa Strait after the right engine caught fire shortly after taking off.
1059,16 06 1983,,"Kauai, Hawaii",Military - U.S. Navy,Lockheed P-3B Orion,,14,14,0,Crashed into a mountain
1060,21 06 1983,,"Niela, Mali",Air Mali,de Havilland Canada DHC-6 Twin Otter 300,,7,7,0,
1061,25 06 1983,10:15:00,"Cortez, Colorado",Air Taxi - Four Corners Aviation Inc.,Cessna U206,,5,2,0,Pilot became disoriented in clouds and impacted rising terrain in a nose up attitude. Continued VFR flight in adverse weather. Pilot was not instrumented rated.
1062,28 06 1983,,"Las Vegas, Nevada",Military - U.S. Air Force,Lockheed C-130H Hercules,,6,6,0,While flying at a low level during the aircraft stalled and crashed.
1063,07 01 1983,,"Labe, Guinea",CAAK,Ilyushin IL-62M,,23,23,0,Crashed into Fouta Djall Mountain.
1064,07 11 1983,07:40:00,"Near Cuenca, Azuay, Ecuador",TAME,Boeing B-737-2V2,,119,119,0,"The jetliner scraped a mountian peak, exploded in flames and slid down a ravine coming to rest at the foot of a mountain. The plane was attempting to land in the Andean city of Cuenca. Under-qualification of pilot."
1065,16 07 1983,,"Off Scilly Islands, UK",British Airways Helicopters,Sikorsky S-61N-II,,26,20,0,Crashed into the English Channel.
1066,23 07 1983,19:30:00,"Gimli, Manitoba, Canada",Air Canada,Boeing B-767-233ER,143,69,0,0,"The aircraft took off from Ottawa bound for Edmonton with less than half the fuel required to make the trip. A computer known as the 'Fuel Quantity Information System Processor'  was not working properly so the ground crew made manual calculations for the amount of needed fuel. However, they used pounds/liter for the specifigravity factor instead of kilograms/liter. This was first model of aircraft of Air Canada to use kilograms. The aircraft ran out of fuel at 41,000 feet. With only standby instruments (magneticompass, artificial horizon, airspeed indicator and altimeter) and no slats or flaps, the plane landed safely on a 7,200 ft. runway at Gimli, a former Air Force base converted into a racing drag strip. The plane became known as the 'Gimli Glider.'  The TV movie Falling from the Sky: Flight 174 was made about this incident in 1995."
1067,26 07 1983,,"Near Ambone, Indonesia",Bali International Air Service,Cessna 404 Titan,,11,7,0,
1068,08 05 1983,,"Off Bula, Indonesia",Bali International Air Service,Britten-Norman BN-2A-21 Islander,,2,2,0,
1069,08 11 1983,17:45:00,"Evart, Michigan",Air Taxi - Northern Air Services Inc.,Beechcraft G18S,,2,2,0,The aircraft collided with a power pole and trees during a forced landing after a power loss on takeoff. Reason for occurrence unknown.
1070,17 08 1983,12:27:00,"Grand Canyon, Arizona",Las Vegas Airlines,Piper PA-31-350 Chieftain,,10,10,0,Crashed into a cliff in the Grand Canyon on a sightseeing flight.
1071,27 08 1983,,"Near Dundo, Angola",Transamerica Airlines,Lockheed L-100-30 Hercules,,7,7,0,
1072,28 08 1983,,"Adavale, Queensland, Australia",Moore's Air Charter,Beech Super King Air 200,,12,12,0,
1073,30 08 1983,23:17:00,"Near Alma-Ata, Kazakastan, USSR",Aeroflot,Tupolev TU-134A,,90,90,0,Crashed an burned after striking mountain  while attempting to land. Procedural errors.
1074,09 01 1983,18:26:00,"Near Sakhalin Island, Russia",Korean Airlines,Boeing B-747-230B,7,269,269,0,"On a flight from Alaska to South Korea, the airliner drifted off course and twice penetrated Soviet airspace.  During the second penetration, the airliner was shot down by a Russian Su-15 Air Force fighter with air-to-air missiles. The aircraft crashed into international waters in the Sea of Japan. U.S. Representative from Georgia Lawrence McDonald killed."
1075,09 02 1983,,"Smithers, British Columbia, Canada",Central Mountain Air Services,Britten-Norman BN-2A-21 Islander,,9,9,0,
1076,14 09 1983,09:34:00,"Guilin, China",CAAC,Hawker Siddeley Trident 2E /  II-28,,106,11,0,Collided with a Chinese Air Force aircraft while taxing.
1077,23 09 1983,15:30:00,"Near Mina Jebel Ali, UAE",Gulf Air,Boeing B-737-2P6,771,112,112,0,Crashed  into the desert after a distress message and during an emergency landing attempt. Detonation of an explosive device in the baggage compartment.
1078,23 09 1983,19:30:00,"Flagstaff, Arizona",Air Taxi,Cessna TU206C,,2,2,0,The aircraft collided with trees shortly after takeoff. The pilot because disoriented and experienced spatial disorientation.
1079,28 09 1983,,"Off Lanyu Island, Taiwan",Taiwan Airlines,Britten-Norman BN-2A-26 Trislander,,10,10,0,Crashed into the sea.
1080,16 01 1987,08:11:00,"Tashkent, Uzbekistan",Aeroflot,Yakovlev YAK-40,,9,9,0,"While taking off, the aircraft banked sharply to the left and crashed. Encounted a wake vortex from another aircraft."
1081,10 05 1983,12:00:00,"Springfield, Missouri",Air Taxi - Ozark Skyways Inc.,Cessna 182R,,4,4,0,"While on final approach the aircraft hit tree tops and crashed 1,200 ft. short of the runway. Procedures not followed. The pilot in command did not use decision height."
1082,10 07 1983,,"Aracatuba, Brazil",TAM Lineas Aรฉreas Regional,Embraer 110C Bandeirante,,15,7,0,After two missed IFR approaches the aircraft struck the ground short of the runway threshold during a third VFR approach.
1083,10 08 1983,,"Near Lonkin, Myanmar",Burma Airways,de Havilland Canada DHC-6 Twin Otter 300,,14,9,0,Struck trees on high ground after losing the No.1 engine during take off.
1084,10 11 1983,20:53:00,"Pinckneyville, Illinois",Air Illinois,Hawker Siddeley HS-748-FAA,701,10,10,0,"Two minutes out of Springfield, the left generator suffered a complete mechanical failure. The first officer mistakenly shut down the right generator and all attempts at bring it back to life failed. Although the plane could be flown safely on batteries for about 30 minutes the captain decided to continue on towards Carbondale, thirty-nine minutes away. The batteries lasted for thirty-one minutes. The aircraft lost all power, turned blindly 180 degrees and crashed in a rural area."
1085,28 10 1983,13:35:00,"Middletown, Pennsylvania",Pennsylvania Airlines,Shorts 330-200,,30,1,0,"A passenger committed suicide by opening the right rear door and jumping out at 3,500 ft."
1086,11 08 1983,15:20:00,"Lubango, Huila, Angola",TAAG Angola Airlines,Boeing B-737-200,,130,130,0,The airliner crashed immediately after takeoff.  Shot down by rebels with a surface to air missile.
1087,23 11 1983,,"Landsdowne House, Canada",Austin Airways,de Havilland Canada DHC-6 Twin Otter 300,,7,4,0,The aircraft touched down short of the runway while on a VFR approach in a snowstorm. The nosegear and one of the main landing gear legs broke away from the fuselage and the aircraft caught fire.
1088,26 11 1983,15:30:00,"Midland, Texas",Air Taxi,Beechcraft B-100,,8,8,0,"Witnesses observed what appeared to be a normal approach, but at 30 to 50 ft. agl, the pilot initiated a go-around, the aircraft pitched up in an extremely nose high attitude, then entered a left bank, stalled & crashed. Reasons for occurrence undetermined."
1089,27 11 1983,10:06:00,"Madrid-Barajas, Spain",AVIANCA,Boeing B-747-283B,11,192,181,0,"While attempting to land at Madrid, the crew intercepted the wrong ILS track which caused the pilot to initiate a right turn short of the VOR beacon. The aircraft impacted a series of hills during which the right wing broke off, the aircraft cartwheeled and broke into 5 pieces and came to rest upside down. Procedural errors by the crew including the pilot not knowing his precise position before descending, failure of the crew to take corrective action after a warning from the  ground proximity warning system and deficient teamwork on the flight deck.  The aircraft was named 'Magnus Viking,' LN-RNA and dry-leased from SAS."
1090,28 11 1983,,"Near Enugu, Nigeria",Nigeria Airways,Fokker F-28 Fellowship 2000,,72,53,0,The aircraft crashed 18 nm short of the runway after attaining a nose-high attitude in poor visibility and caught fire. Crew may have been preoccupied with landing gear trouble.
1091,12 07 1983,09:40:00,"Near Madrid, Spain",Iberia Airlines / Aviaco,Boeing B-727-200 / DC9-32,350/134,135,93,0,"While taking off, the B-727 struck the DC-9 on the runway in poor visibility, fog and snow. Because of poor visibility and inadequate signs and markings the, DC-9 inadvertently wandered on the runway being used by the B-727 to take off. The airport had no ground radar. Fifty-one aboard the 727 and all 42 aboard the DC-9 were killed. Mexican actress,  Marรญa 'Fanny Cano' Damiรกn, 39, among those killed."
1092,12 09 1983,21:30:00,"Put-In-Bay, Ohio",Air Taxi - Island Airlines,Cessna 207,,4,4,0,
1093,14 12 1983,15:30:00,"Near Medellin, Colombia",TAMPA Colombia,Boeing 707-373C,,3,3,22,"After liftoff, the aircraft entered a 90 degree bank, struck power lines and crashed into buildings. Failure of the No.3 engine during a climb out with the No.4 engine operating at idle."
1094,17 12 1983,13:10:00,"Paulatuk, Northwest Territory, Canada",Inuvik Coastal Airways,de Havilland Canada DHC-6 Twin Otter 200,,12,2,0,The left wing contacted the ground after the pilot attempted a go-around. The plane cartwheeled and crashed. Runway is not oriented to correspond with the prevailing winds. The aircraft was overloaded by 840 lbs and was below that prescribed to take off. Lack of weather forcast.
1095,24 12 1983,,"Leshukonskoye, Russia",Aeroflot,Antonov AN-24,,49,44,0,"The airliner crashed on approach in adverse weather. Instead of a go-around the pilot put the plane in a tight turn to the right with a high slip angle, leading to a loss of airspeed. After descending through decision height the pilot attempted a go-around but the plane rolled to the left and lost altitude. After the bank angle reached 90 degrees the aircraft crashed short of  the runway."
1096,01 02 1984,,"Amman, Jordan",Military - Royal Jordanian Air Force,CASA 212-A3 Aviocar 100,,13,13,0,Crashed due to mechanical problems.
1097,01 09 1984,22:30:00,"Saint Louis, Missouri",Skycraft Air Transport,Douglas DC-3,,2,1,0,"The attempts at taking off failed because of poor engine performance. On the third try power was lost in both engines and an emergency landing was attempted on a highway. The left wing struck a light pole. Jet-A fuel was used when refueling the aircraft, instead of aviation gas."
1098,01 10 1984,,"Sofia, Bulgaria",Balkan Bulgarian Airlines,Tupolev TU-134A,,50,50,0,The aircraft struck power lines and crashed into a forest during a snowstorm while attempting to land.  A go-around was attempted at 300 ft. but the plane struck power lines and crashed 2.5 miles short of the runway. The crew descended below decision altitude while trying to make visual contact with the runway.
1099,13 01 1984,,"Cochabamba, Bolivia",North East Bolivian Airways,Douglas EC-54U,,3,1,0,"After the No. 2 engine failed on takeoff, the pilot  tried to land but the propellers struck the runway and the aircraft ran off the runway into a ditch."
1100,24 01 1984,,"Near Manado, Indonesia",Pelita Air Service,CASA 212 Aviocar 200,,9,6,0,"Crashed into a mountain at approximately 3,000 ft. while attempting to land."
1101,28 01 1984,,"Izhevsk, Russia",Aeroflot,Antonov An-24RV,,47,4,0,The aircraft crashed after the elevator failed. Disconnection of the linkage of the elevators control rod.
1102,30 01 1984,06:30:00,"Terre Haute, Indiana",Britt Airways,Swearingen SA.226TC Metro II,,3,3,0,The aircraft entered a steep after taking off and crashed to the ground. Undetermined cause.
1103,16 02 1984,,"Near Debre Zelt, Ethiopia",Military - Ethiopian Air Force,Antonov AN-12,,38,26,0,The aircraft crashed after a hijacker detonated a hand grenade when the pilot tried to land.
1104,19 02 1984,,"Near San Gerardo, El Salvador",Military - Salvadoran Air Force,Bell UH-1H / Bell UH-1H,,28,28,0,"One of the helicopters was hit by guerrilla mortar fire and lost control, crashing into the other helicopter."
1105,20 02 1984,,"Prosperine, Australia",Flight Safety Australia,Cessna 500 Citation I,,2,2,0,The cargo plane crashed short of the runway while landing.
1106,24 02 1984,,Colombia,Taxi Aรฉreo del Guaviare,Cessna 404 Titan,,7,7,0,
1107,27 02 1984,,"Off Matsuyama, Japan",Military - Japan Maritime Self Defense Force,PS-1,,12,12,0,Crashed into the sea. Two bodies never recovered.
1108,28 02 1984,16:16:00,"JFK Airport, New York, New York",Scandinavian Airlines (SAS),McDonnell Douglas DC-10-30,901,177,0,0,"While attempting to land at JFK, New York, the aircraft touched down 4,700 feet beyond the threshold, slid off end of runway and came to rest in a tidal waterway. The crew's disregard for prescribed procedures for monitoring and controlling of airspeed during the final stages of the approach and decision to continue the landing rather than to execute a missed approach. Overreliance on the autothrottle speed control system which had a history of recent malfunctions."
1109,28 02 1984,19:30:00,"Near Borja, Spain",Military - U.S. Air Force,Lockheed C-130E,,18,18,0,Struck the face of a mountain as it made a low-level suppy drop during a training mission.
1110,03 05 1984,,"Cumberland, Maryland",Air Taxi,Piper PA-31,,3,3,0,Approximately 16 minutes prior to the accident the pilot was cleared for the localizer DME approach. The aircraft collided with the mountainous terrain on a heading of about 220 degrees at approx 8.5 DME on a bearing of 051 degrees from the airport. IFR procedure not followed. Proper altitude not maintained. Physical imparement of the pilot with carbon monoxide.
1111,13 03 1984,07:47:00,"Barranquilla, Colombia",Aerosucre Colombia,Curtiss C-46A,,6,4,0,"Tried to make an emergency landing. Touched down, lifted off, stalled and crashed."
1112,16 03 1984,,"San Borja, Bolivia",Lloyd Aereo Boliviano,Fairchild F-27M,,23,23,0,Crashed into the jungle.
1113,24 03 1984,04:00:00,"Near Hunghae, South Korea",Military - U.S. Marine Corps,Sikorsky CH-53D,,29,29,0,Crashed into a wooded mountainside while flying VFR. Pilot error.
1114,24 03 1984,,"Near Rurrenabaque, Bolivia",Frigorifico Reyes,Douglas C-54,,5,5,0,"Shortly after the cargo plane took off, the engines began to backfire, the plane lost altitude, the right wing clipped trees and the plane crashed."
1115,31 03 1984,08:30:00,Off  Bimini,State Airlines,Cessna 402B,,6,6,0,"Slowed to 90 knts and soon after began to descent at 5,400 fpm and disappeared from radar and crashed into the sea. The wreckage was never found."
1116,04 04 1984,,"Florianopolis, Brazil",Lรญder Tรกxi Aรฉreo,PT-LCN,,4,4,0,Crashed while landing.
1117,18 04 1984,,"Imperatriz, Brazil",VOTEC / VOTEC,Embraer 110EJ Band./Embraer 110P Band.,,35,19,0,"Midair collision.  Same aircraft type, same airline. One of 17 killed aboard PT-GKL and all 18 aboard PT-GJZ were killed. PT-GJZ crashed out of control but PT-GKL was able to make a forced landing without its No.1 engine on a river after which it sank."
1118,05 08 1984,,"Elbet Beni Salama, Egypt",Military - Egyptian Air Force,McDonnel F-4E Phantom II,,2,2,19,"Crashed into a village approximately 80 miles from Cairo, killing 19 on the ground."
1119,15 05 1984,,"Ushuaia, Argentina",Tierra del Fuego Province,Gates Learjet 35A,,12,12,0,Crashed in poor weather. The pilot descended below minimum safe altitude. Flying VFR in IFR conditions.
1120,30 05 1984,01:45:00,"Chalkhill, Pennsylvania",Zantop International Airlines,Lockheed L-188AF Electra,,4,4,0,"The cargo aircraft's entry into an unusual attitude and the inability of the flight crew to analyze the flight condition before there was a complete loss of control. Although the precise reason for the loss of control was not identified, an undetermined failure of a component in the No.2 vertical gyro system, perhaps involving the amplifier and associated circuitry, probably contributed to the cause of the accident by incorrectly processing data to the co-pilot's approach horizon. The inflight structural failure of the aircraft was due to overload."
1121,06 04 1984,,"Windsor Locks, Connecticut",Air Continental,Learjet 23A,,3,3,0,"According to witnesses, the aircraft made a normal approach to Rwy 33 with no apparent abnormalities. However, when it was about 200 ft over the approach lights, they heard an increase in the engine thrust & the aircraft's descent stopped. Two witnesses thought the aircrew initiated a go-around. Immediately thereafter, the aircraft began an apparent level turn to the right. As it turned thru about 90 deg of turn, the bank angle had increased to nearly 90 deg, the aircraft's nose dropped & the plane crashed in a nose low attitude & burned. Malfunction of spoiler system for reasons undetermined."
1122,19 06 1984,02:55:00,"Island Beach, New Jersey",Air Taxi - Raco Helicopters Corp.,Aerospeciale AS-350D,,3,3,0,"The on-demand air taxi flight departed for garden city with one passenger. The reported weather at the approximate time of the accident indicated low clouds, thunderstorm activity including rain and lighting. One witness stated that he observed the helicopter flying at an altitude of approximately 60 to 80 feet above the water. The helicopter wreckage was found the next day on the beach. Continued VFR flight into IMC. Improper altitude."
1123,28 06 1984,,"Near Sao Pedro d' Aldeia, Brazil",TAM Lineas Aรฉreas Regional,Embraer 110C Bandeirante,,18,18,0,The aircraft flew into heavy rain and a cloud shrouded hill after the pilot abandoned IFR and descended VFR. The plane was carrying journalists.
1124,07 01 1984,11:34:00,"Port Hardy, British Columbia, Canada",Coval Air,Beechcraft 18,,9,9,0,"While attempting to take off, gained 100 feet in altitude then nosed into the end of the runway tarmaand burned. Chartered by Painter's Lodge fishing resort."
1125,07 11 1984,,"Off Buenavista, Philippines",Military - Philippine Air Force,Bell UH-1H,,30,30,0,Crashed into the PacifiOcean off the coast of Marinduque Island.
1126,07 12 1984,,"Sigonella AFB, Italy",Military - U.S. Air Force,Lockheed C-141B,,9,9,0,"Failure of the No. 4 engine caused the No. 3 engine to failue due to debris. Debris also started a fire in the cargo hatch. The crew was overcome by smoke and cyanide, lost control and crashed."
1127,21 07 1984,09:20:00,"Ouzinkie, Alaska",Air Taxi,Grumman G-21A,,4,4,0,"The aircraft collided with the waters of the narrow strait, northwest of Monashka Bay. Witnesses reported the weather was IFR in the area at the time. The aircraft was not equipped for instrument flight nor was the pilot current with FARS to conduct IFR operations. Continued VFR flight into IMC."
1128,21 07 1984,13:40:00,"Tau Island, American Samoa",South PacifiIsland Airways,de Havilland Canada DHC-6 Twin Otter 300,,14,1,0,While turning from its base leg onto the final approach the fight controls suddenly collapsed and the nose of the plane pitched up. The pilot attempted to maintain control  of the aircraft by using the throttle and flap controls but it collided with a vehicle and terminal building.  A rusted elevator control cable broke. Improper maintenance  procedures. Total failure of the elevator control due to corrosion.
1129,25 07 1984,07:30:00,"Anchorage, Alaska",Air Taxi,Cessna 401,,5,5,0,Disappeared en route. Aircraft and occupants never found. Reasons undetermined.
1130,08 02 1984,08:05:00,"Vieques, Puerto Rico",Vieques Air Link,Britten-Norman BN-2A Islander,,9,9,0,Banked to the left shortly after taking off and crashed into the ocean. Aircraft overloaded and improperly loaded. Inexperienced pilot. Water contamination of fuel.
1131,08 05 1984,,"Dacca, Bangladesh",Bangladesh Biman,Fokker F-27 Friendship 600,,49,49,0,"Crashed in the water, 1,800 ft. short of the runway on a second landing attempt after a go-around on a VOR approach."
1132,08 05 1984,,"Nawabshah, Pakistan",Aeroflot,Antonov AN-12BP,,24,24,0,The plane flew into severe weather and hail penetrated the oil radiatiors. Power was lost in all four engines and load limits were exceeded during an emergency descent. The plane broke up and crashed.
1133,08 08 1984,,"Machakos, Kenya",Pioneer Airlines,Cessna 402A,,9,9,0,
